id,category,slokamrtam_reference,sloka_title,sloka_text,scripture_reference,word_by_word_meaning,translation
11,Maṅgalācaraṇa,0.25,Śrī Śukadeva Gosvāmī (The universal Guru) Praṇāma,"yaṁ pravrajantam anupetam apeta-kṛtyaṁ
 dvaipāyano viraha-kātara ājuhāva
 putreti tan-mayatayā taravo 'bhinedus
 taṁ sarva-bhūta-hṛdayaṁ munim ānato 'smi",Śrīmad Bhāgavatam 1.2.2,yam—whom; pravrajantam—while running away to the forest (renounced order of life); anupetam—without being reformed by the sacred thread; apeta—not undergoing ceremonies; kṛtyam—prescribed duties; dvaipāyanaḥ—Vyāsadeva; viraha—separation; kātaraḥ—being afflicted by; ājuhāva—exclaimed; putra iti—O my son; tat-mayatayā—being absorbed in that way; taravaḥ—all the trees; abhineduḥ—responded; tam—unto him; sarva—all; bhūta—living entities; hṛdayam—heart; munim—sage; ānataḥ asmi—offer obeisances.,"I offer praṇāma to Śrī Śukadeva Gosvāmī, who can enter the hearts of all people. When he left home without undergoing the purificatory processes such as accepting the sacred thread (since he was Rādhikā's parrot, there was no necessity), his father Vyāsa cried out, ""O my son!"" (because he was hankering for sādhu-saṅga). As if they were absorbed in that same feeling of separation, only the trees echoed in response to his call."
12,Maṅgalācaraṇa,0.26,Śrī Vṛndā-Devī Praṇāma,"bhaktyā vihīnā aparādha-lakṣaiḥ
 kṣiptāś ca kāmādi-taraṅga-madhye
 kṛpāmayi tvāṁ śaraṇaṁ prapannā
 vṛnde numas te caraṇāravindam",Śrī Vṛndā Devy-aṣṭakam 8,"bhaktyā—bhakti; vihīnā—being bereft of; aparādha—offences; lākṣaiḥ—hundreds of thousands of; kṣiptāḥ—thrown; ca—and; kāmādi—lust, anger, greed, etc.; taraṇga—waves; madhye—in the midst; kṛpāmayi—O merciful one; tvāṁ—of you; śaraṇaṁ—shelter; prapannā—I take; vṛnde—O Vṛnda Devi; numas te—I offer my obeisances; caraṇa-aravindam—to your lotus feet.","O merciful Vṛndā-devi, devoid of devotion and guilty of unlimited offences, I am being tossed about in the ocean of material existence by the turbulent waves of lust, anger, greed and other inauspicious qualities. Therefore, I take shelter of you as I offer praṇama unto your lotus feet."
13,Maṅgalācaraṇa,0.27,Śrī Rādhā-Kṛṣṇa Dhyāna (meditation),"aṅga-śyāmalima-chaṭābhir abhito mandīkṛtendīvaraṁ
 jāḍyaṁ jāguḍa-rociṣāṁ vidadhataṁ paṭṭāmbarasya śriyā
 vṛndāraṇya-nivāsinaṁ hṛdi lasad-dāmābhir āmodaraṁ
 rādhā-skandha-niveśitojjvala-bhujaṁ dhyāyema dāmodaram",Stava-mālā,aṅga—limbs; śyāmalima—dark; chaṭābhiḥ—splendor; abhitaḥ—everywhere; mandī-kṛta—eclipsed; indīvaram—blue lotuses; jāḍyam—coldness; jāguḍa—of kuṅkuma; rociṣām—splendor; vidadhatam—doing; paṭṭāmbarasya—garments; śriyā—splendor; vṛndāraṇya—Vṛndāvana forest; nivāsinam—resident; hṛdi—in the heart; lasat—splendid; dāmabhiḥ—with garlands; amodaram—fragrant; rādhā—of Rādhā; skandha—the shoulders; niveśita—placed; ujjvala—splendid; bhujam—splendid; dhyayema—we meditate; dāmodaram—Śrī Kṛṣṇa who is bound by the rope of Śrī Rādhikā's prema.,"I meditate upon that Śrī Dāmodara – whose dark bodily luster is millions of times more beautiful than the blue lotus flower, whose brilliant yellow garments rebuke the radiance of golden kuṅkuma, whose residence is Śrī Vṛndāvana-dhāma, whose chest is beautified by a swinging vaijayantī garland, and whose splendorous left hand rests upon the right shoulder of Śrīmatī Rādhikā."
14,Maṅgalācaraṇa,0.28,Śrī Rādhā-Prārthanā (prayer),"śyāmasundara śikhaṇḍa-śekhara
 smera-hāsa muralī-manohara
 rādhikā-rasika māṁ kṛpā-nidhe
 sva-priyā-caraṇa-kiṅkarīṁ kuru",Śrī Rādhā-Prārthanā 2,śyāmasundara—O You who have a beautifully radiant blackish-blue colour; śikhaṇḍa-śekhara—O You who wear a peacock feather; smera-hāsa—O You whose smile evokes or captivates Cupid; muralī-manohara—O You who play enchantingly on Your Muralī flute; rādhikā-rasika—O You who is expert in relishing the mellows of Śrīmatī Rādhikā; kṛpā-nidhe—O ocean of mercy; kuru—make; māṁ—me; sva-priyā-caraṇa-kiṅkarīṁ—a maidservant at the feet of Your beloved.,"O Śyāmasundara! O You whose head is adorned with peacock feathers! Your face is always graced with a playful smile, Your flute-playing is enchanting, and You are expert in relishing rasa with Śrīmatī Rādhikā. Because You are an ocean of mercy, I am appealing to You to please make me a kiṅkarī (maidservant) at the feet of Your beloved Rādhikā."
15,Maṅgalācaraṇa,0.29,Śrī Rādhā Vijñapti (supplication),"hā devi kāku-bhara-gadgadayādya vācā
 yāce nipatya bhuvi daṇḍavad udbhaṭārtiḥ
 asya prasādam abudhasya janasya kṛtvā
 gāndharvike nija-gaṇe gaṇanāṁ vidhehi",Śrī Gāndharvā-samprārthanāṣṭakam,gandharvike—O Rādhā; hā devi—O illustrious enactor of pleasure-pastimes; udbhaṭārtiḥ—being afflicted with distress; kāku-bhara—filled with emotion; gadgadayādya—with choked voice and so forth; vācā—with words; nipatya—falling down; bhuvi—on the ground; daṇḍavat—like a stick; yace—I beg; kṛtvā—being merciful; vidhehi gaṇanām—please count; asya—of him; abudhasya—foolish; janasya—person; nija-gaṇe—amongst Your own associates.,O Devi Gāndharvike! In utter desperation I throw myself on the ground like a stick and with a choked voice humbly implore You to be merciful to this fool and count him as one of Your own.
16,Maṅgalācaraṇa,0.3,Śrī Rādhikā Dhyāna,"bhajāmi rādhāṁ aravinda-netrāṁ
 smarāmi rādhāṁ madhura-smitāsyāṁ
 vadāmi rādhāṁ karuṇā-bharārdrāṁ
 tato mamānyāsti gatir na kāpi",Śrī Stavāvali,bhajāmi—I worship; rādhām—Rādhā; aravinda—lotus; netrām—eyes; smarāmi—I remember; rādhām—Rādhā; madhura—sweet; smita—smile; asyām—face; vadāmi—I glorify; rādhām—Rādhā; karuṇā—of mercy; bhara—with an abundance; ardrām—melting; tataḥ—other than that; mama—for me; anyā—another; asti—is; gatiḥ—goal; na—not; ka-api—anything else.,"I worship Rādhā who has lotus eyes, I remember Rādhā who has a sweet smile, and I speak of Rādhā who is melted with compassion. There is nothing else for me. She is my life and soul."
17,Maṅgalācaraṇa,0.31,Vijñapti,"tavaivāsmi tavaivāsmi na jīvāmi tvayā vinā
 iti vijñāya devi (radhe) tvaṁ naya māṁ caraṇāntikam",Śrī Stavāvali,tava—Yours; eva—indeed; asmi—I am; tava—Yours; eva—indeed; asmi—I am; na—not; jīvāmi—I live; tvayā—You; vinā—without; iti—thus; vijñāya—understanding; devi— Śrīmati Rādhikā; tvam—You; naya—please lead; mām—me; caraṇāntikam—to the tips of Your feet.,"""I am Yours! I am Yours! I cannot live without You! O Devi (Rādhikā), please understand this and bring me to Your lotus feet."""
18,Maṅgalācaraṇa,0.32,The reason for offering maṅgalācaraṇa is explained by Śrīla Kṛṣṇadāsa Kavirāja Gosvāmī,"granthera ārambhe kari 'maṅgalācaraṇa'
 guru, vaiṣṇava, bhagavān,—tinera smaraṇa
 tinera smaraṇe haya vighna-vināśana
 anāyāse haya nija vāñchita-purāṇa",CC Ādi 1.20-21,granthera—of this book; ārambhe—in the beginning; kari—I make; maṅgala-ācaraṇa—auspicious invocation; guru—the spiritual master; vaiṣṇava—the devotees of the Lord; bhagavān—the Supreme Personality of Godhead; tinera—of these three; smaraṇa—remembering; tinera—of these three; smaraṇe—by remembrance; haya—there is; vighna-vināśana—the destruction of all difficulties; anāyāse—very easily; haya—there is; nija—our own; vāñchita—of the desired object; pūraṇa—fulfillment.,"""In the beginning of this narration, simply by remembering Guru, Vaiṣṇavas and Bhagavān, I have invoked their benedictions. Such remembrance destroys all difficulties and very easily enables one to fulfill his innermost desires."""
19, Guru-tattva,1,"The three symptoms of pure bhakti, elucidated by Śrīla Rūpa Gosvāmī in this key śloka, must be present in the real Guru","anyābhilāṣitā-śūnyaṁ
 jñāna-karmādy-anāvṛtam
 ānukūlyena kṛṣṇānu-
 śīlanaṁ bhaktir uttamā",BRS 1.1.11,"anya-abhilāṣitā-śūnyam—without desires other than those for the service of Lord Kṛṣṇa (or without material desires, especially meat-eating, illicit sex, gambling and addiction to intoxicants); jñāna—knowledge aimed at impersonal liberation; karma—fruitive, reward seeking activities; ādi—artificial renunciation, yoga aimed at attaining mystic powers, and so on; anāvṛtam—not covered by; ānukūlyena—favourable; kṛṣṇa-anuśīlanaṁ—cultivation of service to Kṛṣṇa; bhaktiḥ uttamā—first-class devotional service. (The prefix ānu indicates ānugatya – 'following, being under guidance'. Ānu also indicates 'continuous, uninterrupted')","Uttama-bhakti, pure devotional service, is the cultivation of activities that are meant exclusively for the pleasure of Śrī Kṛṣṇa. In other words, it is the uninterrupted flow of service to Śrī Kṛṣṇa, performed through all endeavors of body, mind and speech, as well as through the expression of various spiritual sentiments (bhāvas). It is not covered by jñāna (knowledge aimed at impersonal liberation), karma (reward-seeking activity), yoga or austerities; and it is completely free from all desires other than the aspiration to bring happiness to Śrī Kṛṣṇa."
20, Guru-tattva,1.1,Definition of a Sad-Guru,"tasmād guruṁ prapadyeta
 jijñāsuḥ śreya uttamam
 śābde pare ca niṣṇātaṁ
 brahmaṇy upaśamāśrayam",SB 11.3.21,"tasmāt—therefore; gurum—a spiritual master; prapadyeta—one should take shelter of; jijñāsuḥ—being inquisitive; śreyaḥ uttamam—about the highest good; śābde—in the Vedas; pare—in the Supreme Lord [Śrī Kṛṣṇa]; ca—and; niṣṇātam—perfectly knowledgeable, fully realised; brahmaṇi—(in these two aspects) of the Absolute Truth; upaśama-āśrayam—fixed in detachment from material desires and conceptions.","Therefore [because we do not have peace or happiness in this material world], a person who seriously desires the ultimate spiritual perfection must seek a bona fide spiritual master and take shelter of him. The qualifications of the sad-guru is that he has realised the Vedic scriptures (śabda-brahma) and the Supreme Absolute Truth (parabrahman), and the mundane world holds no charm for him whatsoever."
21, Guru-tattva,1.2,"At the lotus feet of such a sad-guru, divine relationship, practice, and the ultimate objective (sambandha, abhidheya and prayojana) are all achieved","tatra bhāgavatān dharmān / śikṣed gurv-ātma-daivataḥ
 amāyayānuvṛttyā yais / tuṣyed ātmātma-do hariḥ",SB 11.3.22,tatra—there (in the association of the spiritual master); bhāgavatān dharmān—the knowledge of devotional service; śikṣet—should learn; guru-ātma-daivataḥ—he for whom the Guru is his very life and soul; amāyayā—without deceit; anuvṛttyā—by faithful service; yaiḥ—by which (devotional knowledge); tuṣyet—can be satisfied; ātmā—the Supreme Soul; ātma-daḥ—who bestows His own self; hariḥ—Lord Hari.,"Those divine practices of pure devotional service that please the self-giving Śrī Hari (who gives Himself to His pure devotees) will be learned by continuously serving such a Guru with full sincerity, knowing him to be one's dearmost well-wishing friend and the supremely worshipable embodiment of Śrī Hari."
22, Guru-tattva,1.3,One must accept a sad-guru who has fully realised both Śāstra and Kṛṣṇa,"tad-vijñānārthaṁ sa gurum evābhigacchet
 samit-pāṇiḥ śrotriyaṁ brahma-niṣṭham",Mundaka Upanisad 1.2.12,"tat-vijñāna-ārtham—to learn that transcendental subject matter; saḥ—one; gurum—a spiritual master; eva—certainly; ābhigacchet—must approach; samit-pāniḥ—carrying the firewood (of sublime faith); śrotriyam—expert in understanding the Vedic conclusions; brahma-niṣṭham—has fully realised Kṛṣṇa, directly engaged in His service in the nitya-līlā.","To acquire transcendental knowledge of Śrī Bhagavān, one must approach a Guru who knows the real import of the Vedic śāstra and who has fully realised Kṛṣṇa. One should offer him firewood for the yajña [i.e. the yajña of service to Śrī Hari, assist him in the saṅkīrtana yajña, offer him one's life and soul]. Such a spiritual master must be fixed in the Absolute Truth, having received it in the disciplic succession."
23, Guru-tattva,1.4,Guru-Devatātmā – Accepting Śrī Guru as one's life and soul,"bhayaṁ dvitīyābhiniveśataḥ syād
 īśād apetasya viparyayo 'smṛtiḥ
 tan-māyayāto budha ābhajet taṁ
 bhaktyaikayeśaṁ guru-devatātmā",SB 11.2.37,bhayam—fear; dvitīya—in something seeming to be other than the Lord; abhiniveśataḥ—because of absorption; syāt—it will arise; īśāt—from the Supreme Lord; apetasya—for one who has turned away; viparyayaḥ—misidentification; asmṛtiḥ—forgetfulness; tat—of the Lord; māyayā—by the illusory energy; ataḥ—therefore; budhaḥ—an intelligent person; ābhajet—should worship fully; tam—Him; bhaktyā—with devotion; ekayā—unalloyed; īśam—the Lord; guru-devatā-ātmā—one who sees his spiritual master as his lord and his life-and-soul.,"Fear arises when a living entity misidentifies himself as the material body because of absorption in the external, illusory energy of the Lord. When the living entity thus turns away from the Supreme Lord, he also forgets his own constitutional position as a servant of the Lord. This bewildering, fearful condition is caused by the potency for illusion, called māyā. Therefore, an intelligent person should engage unflinchingly in the unalloyed devotional service of the Lord, under the guidance of a bona fide spiritual master, whom he should accept as his worshipable deity and as his very life and soul."
24, Guru-tattva,1.5,The essence of śāstra is revealed to he who is exclusively devoted to both Guru and Kṛṣṇa,"yasya deve parā bhaktir
 yathā deve tathā gurau
 tasyaite kathitā hy arthāḥ
 prakāśante mahātmanaḥ",Śvetāśvatara Upaniṣad 6.23,yasya—of whom; deve—in the Supreme Lord; parā—transcendental; bhaktiḥ—devotion; yathā-deve—as in the Lord; tathā—in the same way; gurau—in the spiritual master; tasya—to him; ete—these; kathitāḥ—as described; hi—certainly; arthāḥ—the imports; prakāsante—are revealed; mahātmanaḥ—of those great souls.,The conclusive essence of the scriptures is revealed only to those great souls who have parā-bhakti unto Śrī Bhagavān and who have an equal amount of bhakti for Śrī Gurudeva. [parā-bhakti here refers to bhakti which is under the direct shelter of Śrīmatī Rādhārāṇī].
25, Guru-tattva,1.6,Śrī Kṛṣṇa tells Uddhava that Śrī Guru is His own svarūpa,"ācāryaṁ māṁ vijānīyān
 nāvamanyeta karhicit
 na martya-buddhyāsūyeta
 sarva-deva-mayo guruḥ",SB 11.17.27,ācāryam—the spiritual master; mām—Myself; vijānīyāt—one should know; naavamanyeta—one should never disrespect; karhicit—at any time; na—never; martya-buddhyā—with the idea of his being an ordinary man; asūyeta—one should be envious; sarva-deva—of all demigods; mayaḥ—representative; guruḥ—the spiritual master.,"""Oh Uddhava! The spiritual master is known to be My very svarūpa. At no time should one neglect or disrespect the Guru as an ordinary mortal – out of envy, nor should he be viewed as having any faults. The Guru is the sum total of all the demigods."""
26, Guru-tattva,1.7,Śrī Guru is the direct representative of Śrī Kṛṣṇa,"sākṣād-dharitvena samasta-śāstrair
 uktas tathā bhāvyata eva sadbhiḥ
 kintu prabhor yaḥ priya eva tasya
 vande guroḥ śrī-caraṇāravindam",Śrī Gurvāṣṭakam 7,sākṣāt—directly; hari-tva—endowed with the quality of Śrī Hari; samasta—all; śāstraiḥ—by scriptures; uktaḥ—acknowledged; tathā—thus; bhāvyate—is considered; eva—also; sadbhiḥ—by great saintly persons; kintu—however; prabhoḥ—of the Lord; yaḥ—who; priyaḥ—dear; eva—certainly; tasya—of him (the Guru); vande—I offer obeisances; guroḥ—of my spiritual master; śrī—auspicious; caraṇa-aravindam—unto the lotus feet.,"All the scriptures proclaim Śrī Gurudeva to be sākṣāt hari, endowed with the quality of Śrī Hari, and considered to be His nondifferent, direct representative. Because Śrī Gurudeva is so dear to the Lord, being His confidential servitor, I offer prayers unto his lotus feet."
27, Guru-tattva,1.8,ācāryavān puruṣo veda,ācāryavān puruṣo veda,Candogya Upaniṣad 6.14.2,ācārya—the ācārya; vān—possesses or follows; puruṣo—a person; veda—knows.,Only one who has a Guru can know the truth; only one who follows the disciplic succession of ācāryas knows things in truth.
28, Guru-tattva,1.9,"Śrī Guru must be approached with surrender, service attitude, and inquiries","tad viddhi praṇipātena
 paripraśnena sevayā
 upadekṣyanti te jñānaṁ
 jñāninas tattva-darśinaḥ",BG 4.34,"tat—this knowledge (of the Absolute Truth); viddhi—you must understand; praṇipātena—[by approaching Guru through] prostrated obeisances; paripraśnena—relevant and submissive inquiries; sevayā—rendering devotional service; upadekṣyanti—will reveal; te—unto you; jñānam—that knowledge; jñāninaḥ—the self-realised, those in knowledge; tattva-darśinaḥ—those who have seen the Absolute Truth.","To acquire spiritual knowledge, one must approach a sad-guru by offering him prostrated obeisances, by asking relevant questions from him and by rendering service to him. The jñānīs, those who are expert in the imports of śāstra, and the tattva-darśīs, those who have realised the Absolute Truth, will enlighten you with that transcendental knowledge."
29, Guru-tattva,1.1,Śrī Guru serves in the nitya-lilā,"nikuñja-yūno rati-keli-siddhyai
 yā yālibhir yuktir apekṣanīyā",Śrī Gurvaṣṭakam 6,"nikuñja-yūnaḥ—of Rādhā and Kṛṣṇa, the youthful Divine Couple within the groves; rati—conjugal love; keli—of the pastimes; siddhyai—for the perfection; yā yā—whatever; ālibhiḥ—by the gopīs; yuktiḥ—arrangements; apekṣaṇīyā—desirable.","Śrī Gurudeva is always present with the sakhīs, planning the arrangements for the perfection of yugala-kiśora's amorous pastimes (rati-keli) within the kuñjas of Vṛndāvana."
30, Guru-tattva,1.11,"A Guru is a 'gosvāmī', master of his senses, and he can subdue the six urges","vāco vegaṁ manasaḥ krodha-vegaṁ
 jihvā-vegam udaropastha-vegam
 etān vegān yo viṣaheta dhīraḥ
 sarvām apīmāṁ pṛthivīṁ sa śiṣyāt",Upadeśāmṛta 1,vācaḥ—of speech; vegam—the impetus; manasaḥ—of the mind; krodha—of anger; vegam—urge; jihvā—of the tongue; vegam—urge; udara-upastha—of the belly and genitals; vegam—urge; etān—these; vegān—urges; yaḥ—whoever; viṣaheta—can subdue; dhīraḥ—sober person; sarvām—entire; api—certainly; imām—this; pṛthivīm—world; saḥ—that personality; śiṣyāt—he can instruct.,"A wise and self-composed person who can subdue the impetus to speak, the agitation of the mind, the onset of anger, the vehemence of the tongue, the urge of the belly and the agitation of the genitals can instruct the entire world. In other words, all persons may become disciples of such a self-controlled Guru."
31, Guru-tattva,1.12,The first limb of the 64 aṅgas of Bhakti is taking shelter of Śrī Guru,"guru-pādāśraya, dīkṣā, gurura sevana
 sad-dharma-śikṣā-pṛcchā, sādhu-mārgānugamana",CC Mad 22.115,guru-pāda-āśraya—shelter at the feet of a bona fide Guru; dīkṣā—initiation by the spiritual master; gurura sevana—service to the spiritual master; sat-dharma-śikṣā—instruction in the transcendental process of devotional service; pṛcchā—and inquiry; sādhu-mārga—the path of transcendental devotional service; anugamana—following strictly.,"On the path of regulative devotional service, one must observe the following items: (1) One must accept a bona fide spiritual master. (2) One must accept initiation from him. (3) One must serve him. (4) One must receive instructions from the spiritual master and make inquiries in order to learn devotional service. (5) One must follow in the footsteps of the previous ācāryas and follow the directions given by the spiritual master."
